
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 62831.853071795864, A_magnet = 0.011519981499672153: losses = 2794.6559504371476, delta_magnet = 0.0054913672413404654
Flat Sim tau_p: PZ = 8, Tau = 1, omega = 62831.853071795864, A_magnet = 0.014667696000001444: losses = 3561.277389053954, delta_magnet = 0.0054913672413404654

Periodic Sim: PZ = 8, Tau = 1, omega = 62831.853071795864, A_magnet = 0.011519981499672: losses = 23072.002642802236, delta_magnet = 0.0054913672413404654
Periodic Sim: PZ = 8, Tau = 1, omega = 2513274.1228718343, A_magnet = 0.011519981499672526: losses = 141436.14000205303, delta_magnet = 0.0008682613975535708
Periodic Sim: PZ = 8, Tau = 1, omega = 2513274.1228718343, A_magnet = 0.011519981499670965: losses = 141435.19386293186, delta_magnet = 0.0008682613975535708
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499671995: losses = 223541.88333968804, delta_magnet = 0.0005491367241340465
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499671995: losses = 223541.8832679937, delta_magnet = 0.0005491367241340465
Periodic Sim: PZ = 8, Tau = 1, omega = 2620794.8876888654, A_magnet = 0.011519981499671244: losses = 144425.68804586996, delta_magnet = 0.0008502642247643334
Periodic Sim: PZ = 8, Tau = 1, omega = 2620794.8876888654, A_magnet = 0.011519981499689453: losses = 144426.372489194, delta_magnet = 0.0008502642247643334
Periodic Sim: PZ = 8, Tau = 1, omega = 2620794.8876888654, A_magnet = 0.011519981499689868: losses = 144423.30414529744, delta_magnet = 0.0008502642247643334
Periodic Sim: PZ = 8, Tau = 1, omega = 2620794.8876888654, A_magnet = 0.01151998149967251: losses = 144426.54718867425, delta_magnet = 0.0008502642247643334
Periodic Sim: PZ = 8, Tau = 1, omega = 3141592.653589793, A_magnet = 0.011519981499672271: losses = 158112.4811495479, delta_magnet = 0.0007765966028675015
Periodic Sim: PZ = 8, Tau = 1, omega = 691150.3837897545, A_magnet = 0.011519981499675806: losses = 74382.60419551584, delta_magnet = 0.0016557095205068483
Periodic Sim: PZ = 8, Tau = 1, omega = 691150.3837897545, A_magnet = 0.011519981499675912: losses = 74382.60126725315, delta_magnet = 0.0016557095205068483
Periodic Sim: PZ = 8, Tau = 1, omega = 4398229.71502571, A_magnet = 0.011519981499673062: losses = 187053.9638025636, delta_magnet = 0.000656343923121181
Periodic Sim: PZ = 8, Tau = 1, omega = 4398229.71502571, A_magnet = 0.011519981499673062: losses = 187053.96517547805, delta_magnet = 0.000656343923121181
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499674405: losses = 223541.66505025915, delta_magnet = 0.0005491367241340465
Periodic Sim: PZ = 8, Tau = 1, omega = 314159.2653589793, A_magnet = 0.011519981499675648: losses = 49473.187805279, delta_magnet = 0.002455814088210555
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499674405: losses = 223541.66518871463, delta_magnet = 0.0005491367241340465
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499674405: losses = 223541.66519173374, delta_magnet = 0.0005491367241340465
Periodic Sim: PZ = 8, Tau = 1, omega = 62831.853071795864, A_magnet = 0.011519981502742844: losses = 23111.84171275307, delta_magnet = 0.0054913672413404654
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499673614: losses = 223542.5482981718, delta_magnet = 0.0005491367241340465
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499673421: losses = 223542.53873188145, delta_magnet = 0.0005491367241340465
Periodic Sim: PZ = 8, Tau = 1, omega = 62.83185307179586, A_magnet = 0.011519981665938987: losses = 1473.1890924613958, delta_magnet = 0.17365227951071416
Periodic Sim: PZ = 8, Tau = 1, omega = 62.83185307179586, A_magnet = 0.011519981504566566: losses = 1473.1891799676812, delta_magnet = 0.17365227951071416
Periodic Sim: PZ = 8, Tau = 1, omega = 62.83185307179586, A_magnet = 0.011519981504566566: losses = 1473.189137275599, delta_magnet = 0.17365227951071416
Periodic Sim: PZ = 8, Tau = 1, omega = 62.83185307179586, A_magnet = 0.011519981500217644: losses = 1473.189165920921, delta_magnet = 0.17365227951071416
Periodic Sim: PZ = 8, Tau = 1, omega = 62.83185307179586, A_magnet = 0.011519981500217644: losses = 1473.1891595683255, delta_magnet = 0.17365227951071416
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499673421: losses = 223542.53634932003, delta_magnet = 0.0005491367241340465
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499673421: losses = 223542.53640508468, delta_magnet = 0.0005491367241340465
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499673421: losses = 223542.53677815702, delta_magnet = 0.0005491367241340465
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499819146: losses = 223829.51114440357, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.01151998149967336: losses = 223542.60191094733, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.01151998149967336: losses = 223542.60100455236, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.01151998149967336: losses = 223542.60121334344, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499673421: losses = 223542.5353721255, delta_magnet = 0.0005491367241340465
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.01151998149967336: losses = 208607.26400700986, delta_magnet = 0.00018304557471134886
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499672092: losses = 25420.275332856774, delta_magnet = 0.0005491367241340465 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499672092: losses = 25420.275332873436, delta_magnet = 0.0005491367241340465 
